"Title","LFS: ILO unemployed: Aged 25-34: UK: Male: Thousands: SA"
"CDID","YCGN"
"Source dataset ID","LMS"
"PreUnit",""
"Unit",""
"Release date","17-12-2024"
"Next release","21 January 2025"
"Important notes",
"1992","506"
"1993","511"
"1994","464"
"1995","418"
"1996","388"
"1997","305"
"1998","265"
"1999","240"
"2000","212"
"2001","204"
"2002","194"
"2003","191"
"2004","176"
"2005","161"
"2006","184"
"2007","172"
"2008","195"
"2009","316"
"2010","312"
"2011","311"
"2012","286"
"2013","292"
"2014","221"
"2015","199"
"2016","168"
"2017","156"
"2018","146"
"2019","132"
"2020","148"
"2021","155"
"2022","132"
"2023","138"
"1992 Q2","507"
"1992 Q3","503"
"1992 Q4","534"
"1993 Q1","529"
"1993 Q2","506"
"1993 Q3","501"
"1993 Q4","507"
"1994 Q1","485"
"1994 Q2","482"
"1994 Q3","454"
"1994 Q4","433"
"1995 Q1","444"
"1995 Q2","418"
"1995 Q3","412"
"1995 Q4","398"
"1996 Q1","407"
"1996 Q2","396"
"1996 Q3","390"
"1996 Q4","358"
"1997 Q1","313"
"1997 Q2","319"
"1997 Q3","297"
"1997 Q4","290"
"1998 Q1","279"
"1998 Q2","271"
"1998 Q3","266"
"1998 Q4","245"
"1999 Q1","239"
"1999 Q2","244"
"1999 Q3","242"
"1999 Q4","236"
"2000 Q1","230"
"2000 Q2","213"
"2000 Q3","202"
"2000 Q4","202"
"2001 Q1","194"
"2001 Q2","204"
"2001 Q3","205"
"2001 Q4","214"
"2002 Q1","214"
"2002 Q2","191"
"2002 Q3","200"
"2002 Q4","173"
"2003 Q1","202"
"2003 Q2","180"
"2003 Q3","191"
"2003 Q4","192"
"2004 Q1","178"
"2004 Q2","184"
"2004 Q3","166"
"2004 Q4","177"
"2005 Q1","165"
"2005 Q2","158"
"2005 Q3","159"
"2005 Q4","162"
"2006 Q1","171"
"2006 Q2","187"
"2006 Q3","188"
"2006 Q4","191"
"2007 Q1","196"
"2007 Q2","159"
"2007 Q3","170"
"2007 Q4","161"
"2008 Q1","173"
"2008 Q2","180"
"2008 Q3","198"
"2008 Q4","229"
"2009 Q1","273"
"2009 Q2","327"
"2009 Q3","337"
"2009 Q4","329"
"2010 Q1","351"
"2010 Q2","316"
"2010 Q3","287"
"2010 Q4","292"
"2011 Q1","290"
"2011 Q2","312"
"2011 Q3","330"
"2011 Q4","313"
"2012 Q1","292"
"2012 Q2","287"
"2012 Q3","285"
"2012 Q4","279"
"2013 Q1","304"
"2013 Q2","297"
"2013 Q3","292"
"2013 Q4","277"
"2014 Q1","242"
"2014 Q2","224"
"2014 Q3","216"
"2014 Q4","201"
"2015 Q1","194"
"2015 Q2","215"
"2015 Q3","193"
"2015 Q4","195"
"2016 Q1","170"
"2016 Q2","163"
"2016 Q3","166"
"2016 Q4","174"
"2017 Q1","179"
"2017 Q2","154"
"2017 Q3","149"
"2017 Q4","140"
"2018 Q1","134"
"2018 Q2","152"
"2018 Q3","150"
"2018 Q4","146"
"2019 Q1","128"
"2019 Q2","140"
"2019 Q3","137"
"2019 Q4","125"
"2020 Q1","126"
"2020 Q2","136"
"2020 Q3","168"
"2020 Q4","162"
"2021 Q1","159"
"2021 Q2","168"
"2021 Q3","158"
"2021 Q4","135"
"2022 Q1","126"
"2022 Q2","151"
"2022 Q3","133"
"2022 Q4","117"
"2023 Q1","120"
"2023 Q2","140"
"2023 Q3","138"
"2023 Q4","152"
"2024 Q1","159"
"2024 Q2","154"
"2024 Q3","136"
"1992 APR","501"
"1992 MAY","507"
"1992 JUN","509"
"1992 JUL","509"
"1992 AUG","503"
"1992 SEP","520"
"1992 OCT","532"
"1992 NOV","534"
"1992 DEC","532"
"1993 JAN","536"
"1993 FEB","529"
"1993 MAR","525"
"1993 APR","511"
"1993 MAY","506"
"1993 JUN","505"
"1993 JUL","503"
"1993 AUG","501"
"1993 SEP","501"
"1993 OCT","498"
"1993 NOV","507"
"1993 DEC","508"
"1994 JAN","492"
"1994 FEB","485"
"1994 MAR","486"
"1994 APR","489"
"1994 MAY","482"
"1994 JUN","476"
"1994 JUL","472"
"1994 AUG","454"
"1994 SEP","449"
"1994 OCT","436"
"1994 NOV","433"
"1994 DEC","440"
"1995 JAN","441"
"1995 FEB","444"
"1995 MAR","434"
"1995 APR","430"
"1995 MAY","418"
"1995 JUN","422"
"1995 JUL","409"
"1995 AUG","412"
"1995 SEP","412"
"1995 OCT","408"
"1995 NOV","398"
"1995 DEC","405"
"1996 JAN","407"
"1996 FEB","407"
"1996 MAR","404"
"1996 APR","396"
"1996 MAY","396"
"1996 JUN","386"
"1996 JUL","389"
"1996 AUG","390"
"1996 SEP","388"
"1996 OCT","370"
"1996 NOV","358"
"1996 DEC","340"
"1997 JAN","327"
"1997 FEB","313"
"1997 MAR","312"
"1997 APR","322"
"1997 MAY","319"
"1997 JUN","327"
"1997 JUL","307"
"1997 AUG","297"
"1997 SEP","285"
"1997 OCT","295"
"1997 NOV","290"
"1997 DEC","283"
"1998 JAN","270"
"1998 FEB","279"
"1998 MAR","274"
"1998 APR","276"
"1998 MAY","271"
"1998 JUN","270"
"1998 JUL","264"
"1998 AUG","266"
"1998 SEP","264"
"1998 OCT","249"
"1998 NOV","245"
"1998 DEC","249"
"1999 JAN","244"
"1999 FEB","239"
"1999 MAR","241"
"1999 APR","243"
"1999 MAY","244"
"1999 JUN","246"
"1999 JUL","243"
"1999 AUG","242"
"1999 SEP","241"
"1999 OCT","242"
"1999 NOV","236"
"1999 DEC","233"
"2000 JAN","234"
"2000 FEB","230"
"2000 MAR","221"
"2000 APR","215"
"2000 MAY","213"
"2000 JUN","205"
"2000 JUL","204"
"2000 AUG","202"
"2000 SEP","201"
"2000 OCT","203"
"2000 NOV","202"
"2000 DEC","199"
"2001 JAN","199"
"2001 FEB","194"
"2001 MAR","190"
"2001 APR","187"
"2001 MAY","204"
"2001 JUN","214"
"2001 JUL","204"
"2001 AUG","205"
"2001 SEP","203"
"2001 OCT","212"
"2001 NOV","214"
"2001 DEC","217"
"2002 JAN","216"
"2002 FEB","214"
"2002 MAR","217"
"2002 APR","200"
"2002 MAY","191"
"2002 JUN","189"
"2002 JUL","193"
"2002 AUG","200"
"2002 SEP","193"
"2002 OCT","187"
"2002 NOV","173"
"2002 DEC","175"
"2003 JAN","187"
"2003 FEB","202"
"2003 MAR","195"
"2003 APR","189"
"2003 MAY","180"
"2003 JUN","187"
"2003 JUL","189"
"2003 AUG","191"
"2003 SEP","187"
"2003 OCT","189"
"2003 NOV","192"
"2003 DEC","189"
"2004 JAN","183"
"2004 FEB","178"
"2004 MAR","171"
"2004 APR","176"
"2004 MAY","184"
"2004 JUN","180"
"2004 JUL","176"
"2004 AUG","166"
"2004 SEP","170"
"2004 OCT","172"
"2004 NOV","177"
"2004 DEC","180"
"2005 JAN","171"
"2005 FEB","165"
"2005 MAR","165"
"2005 APR","168"
"2005 MAY","158"
"2005 JUN","158"
"2005 JUL","160"
"2005 AUG","159"
"2005 SEP","161"
"2005 OCT","165"
"2005 NOV","162"
"2005 DEC","158"
"2006 JAN","163"
"2006 FEB","171"
"2006 MAR","176"
"2006 APR","182"
"2006 MAY","187"
"2006 JUN","188"
"2006 JUL","187"
"2006 AUG","188"
"2006 SEP","188"
"2006 OCT","191"
"2006 NOV","191"
"2006 DEC","195"
"2007 JAN","197"
"2007 FEB","196"
"2007 MAR","181"
"2007 APR","171"
"2007 MAY","159"
"2007 JUN","167"
"2007 JUL","163"
"2007 AUG","170"
"2007 SEP","164"
"2007 OCT","167"
"2007 NOV","161"
"2007 DEC","164"
"2008 JAN","169"
"2008 FEB","173"
"2008 MAR","176"
"2008 APR","176"
"2008 MAY","180"
"2008 JUN","182"
"2008 JUL","194"
"2008 AUG","198"
"2008 SEP","209"
"2008 OCT","214"
"2008 NOV","229"
"2008 DEC","245"
"2009 JAN","259"
"2009 FEB","273"
"2009 MAR","288"
"2009 APR","311"
"2009 MAY","327"
"2009 JUN","330"
"2009 JUL","336"
"2009 AUG","337"
"2009 SEP","325"
"2009 OCT","332"
"2009 NOV","329"
"2009 DEC","340"
"2010 JAN","357"
"2010 FEB","351"
"2010 MAR","337"
"2010 APR","328"
"2010 MAY","316"
"2010 JUN","304"
"2010 JUL","286"
"2010 AUG","287"
"2010 SEP","293"
"2010 OCT","295"
"2010 NOV","292"
"2010 DEC","297"
"2011 JAN","288"
"2011 FEB","290"
"2011 MAR","296"
"2011 APR","302"
"2011 MAY","312"
"2011 JUN","312"
"2011 JUL","328"
"2011 AUG","330"
"2011 SEP","327"
"2011 OCT","325"
"2011 NOV","313"
"2011 DEC","301"
"2012 JAN","295"
"2012 FEB","292"
"2012 MAR","285"
"2012 APR","285"
"2012 MAY","287"
"2012 JUN","292"
"2012 JUL","298"
"2012 AUG","285"
"2012 SEP","278"
"2012 OCT","277"
"2012 NOV","279"
"2012 DEC","281"
"2013 JAN","309"
"2013 FEB","304"
"2013 MAR","309"
"2013 APR","299"
"2013 MAY","297"
"2013 JUN","302"
"2013 JUL","295"
"2013 AUG","292"
"2013 SEP","270"
"2013 OCT","279"
"2013 NOV","277"
"2013 DEC","265"
"2014 JAN","255"
"2014 FEB","242"
"2014 MAR","232"
"2014 APR","212"
"2014 MAY","224"
"2014 JUN","221"
"2014 JUL","218"
"2014 AUG","216"
"2014 SEP","214"
"2014 OCT","210"
"2014 NOV","201"
"2014 DEC","197"
"2015 JAN","194"
"2015 FEB","194"
"2015 MAR","201"
"2015 APR","207"
"2015 MAY","215"
"2015 JUN","199"
"2015 JUL","200"
"2015 AUG","193"
"2015 SEP","197"
"2015 OCT","194"
"2015 NOV","195"
"2015 DEC","188"
"2016 JAN","180"
"2016 FEB","170"
"2016 MAR","164"
"2016 APR","166"
"2016 MAY","163"
"2016 JUN","152"
"2016 JUL","165"
"2016 AUG","166"
"2016 SEP","169"
"2016 OCT","172"
"2016 NOV","174"
"2016 DEC","184"
"2017 JAN","176"
"2017 FEB","179"
"2017 MAR","164"
"2017 APR","156"
"2017 MAY","154"
"2017 JUN","136"
"2017 JUL","149"
"2017 AUG","149"
"2017 SEP","148"
"2017 OCT","140"
"2017 NOV","140"
"2017 DEC","133"
"2018 JAN","139"
"2018 FEB","134"
"2018 MAR","148"
"2018 APR","146"
"2018 MAY","152"
"2018 JUN","153"
"2018 JUL","151"
"2018 AUG","150"
"2018 SEP","144"
"2018 OCT","144"
"2018 NOV","146"
"2018 DEC","134"
"2019 JAN","138"
"2019 FEB","128"
"2019 MAR","131"
"2019 APR","132"
"2019 MAY","140"
"2019 JUN","142"
"2019 JUL","137"
"2019 AUG","137"
"2019 SEP","134"
"2019 OCT","132"
"2019 NOV","125"
"2019 DEC","130"
"2020 JAN","130"
"2020 FEB","126"
"2020 MAR","123"
"2020 APR","123"
"2020 MAY","136"
"2020 JUN","146"
"2020 JUL","164"
"2020 AUG","168"
"2020 SEP","171"
"2020 OCT","163"
"2020 NOV","162"
"2020 DEC","157"
"2021 JAN","155"
"2021 FEB","159"
"2021 MAR","165"
"2021 APR","158"
"2021 MAY","168"
"2021 JUN","169"
"2021 JUL","173"
"2021 AUG","158"
"2021 SEP","147"
"2021 OCT","139"
"2021 NOV","135"
"2021 DEC","136"
"2022 JAN","120"
"2022 FEB","126"
"2022 MAR","124"
"2022 APR","142"
"2022 MAY","151"
"2022 JUN","148"
"2022 JUL","143"
"2022 AUG","133"
"2022 SEP","142"
"2022 OCT","127"
"2022 NOV","117"
"2022 DEC","107"
"2023 JAN","113"
"2023 FEB","120"
"2023 MAR","118"
"2023 APR","142"
"2023 MAY","140"
"2023 JUN","132"
"2023 JUL","131"
"2023 AUG","138"
"2023 SEP","139"
"2023 OCT","141"
"2023 NOV","152"
"2023 DEC","148"
"2024 JAN","154"
"2024 FEB","159"
"2024 MAR","153"
"2024 APR","163"
"2024 MAY","154"
"2024 JUN","145"
"2024 JUL","127"
"2024 AUG","136"
"2024 SEP","170"
